Study;Subsample;Clusters;Pairs;Measure;MonoN;MonoMean;MonoSD;BiN;BiMean;BiSD;Year_0f_Publication;Peer;Country;Sample description;L1;L2;LanguagePair;AgeGroup;B_AgeM;B_AgeSD;M_AgeM;M_AgeSD;AoA_early;AoA_child;Prof_L2;Immigrant;IQ_match;Educ_match;Vocab_match;Stimuli;StimulusMaterial;TestingLanguage;Task;Domain;TaskMeasure;MeasureType;TaskVersion;RT/ACC;Reverse
Lee & Chan (2000);1;114;141;734;35;8,04;4,38;50;9,25;4,87;2000;peer;HK;Young adults;ENG;CHI;EngChi;younger;31,17;6,67;32,13;5,79;NA;NA;high;NA;NA;1;NA;Words (CHI/L1);V;1;Stroop;Inhibition;StroopInhibition;Effect;StroopWordColor;1;
Rosselli et al. (2000);1;168;213;74;19;26,4;7,6;18;31,7;7,2;2000;peer;USA;Older adults;SPA;ENG;EngSpa;older;60,6;9,7;61,3;8,1;other;other;high;One;NA;1;1;Animals and fruits, SPA (L1);V;1;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Rosselli et al. (2000);1;168;213;299;19;35,2;13,8;18;34,9;11,2;2000;peer;USA;Older adults;SPA;ENG;EngSpa;older;60,6;9,7;61,3;8,1;other;other;high;One;NA;1;1;Letters FAS, SPA (L1);V;1;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Gollan et al. (2002);1;80;98;4;30;16,8;4,72;30;20,47;4,52;2002;peer;USA;Young adults;ENG;SPA;EngSpa;younger;20;2;19,6;1,6;other;child;high;Two;NA;NA;NA;Animals (ENG/unclear if L1 or L2);V;0;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Gollan et al. (2002);1;80;98;4;30;16;8,43;30;22,83;7,58;2002;peer;USA;Young adults;ENG;SPA;EngSpa;younger;20;2;19,6;1,6;other;child;high;Two;NA;NA;NA;Countries (ENG/unclear if L1 or L2);V;0;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Gollan et al. (2002);1;80;98;4;30;12;2,54;30;16,03;3,87;2002;peer;USA;Young adults;ENG;SPA;EngSpa;younger;20;2;19,6;1,6;other;child;high;Two;NA;NA;NA;Fruits (ENG/unclear if L1 or L2);V;0;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Gollan et al. (2002);1;80;98;4;30;13,67;2,97;30;15,6;2,59;2002;peer;USA;Young adults;ENG;SPA;EngSpa;younger;20;2;19,6;1,6;other;child;high;Two;NA;NA;NA;Colours (ENG/unclear if L1 or L2);V;0;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Gollan et al. (2002);1;80;98;4;30;14;2,59;30;15,5;2,67;2002;peer;USA;Young adults;ENG;SPA;EngSpa;younger;20;2;19,6;1,6;other;child;high;Two;NA;NA;NA;Clothing (ENG/unclear if L1 or L2);V;0;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Gollan et al. (2002);1;80;98;4;30;8,73;3,2;30;10,43;2,06;2002;peer;USA;Young adults;ENG;SPA;EngSpa;younger;20;2;19,6;1,6;other;child;high;Two;NA;NA;NA;Wheels (ENG/unclear if L1 or L2);V;0;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Gollan et al. (2002);1;80;98;4;30;10,47;2,36;30;12,73;2,92;2002;peer;USA;Young adults;ENG;SPA;EngSpa;younger;20;2;19,6;1,6;other;child;high;Two;NA;NA;NA;Vegetables (ENG/unclear if L1 or L2);V;0;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
