Study name,Outcome,Manipulation,Data format,n1exp,n1ctrl,Std diff in means,Std Err,Year,Pub Type,Topic,Topic -specific,Population,Region,Percent Female,Control,Referent Category,Frame: do/don't,method,delivery,timing,duration,content
Agostinelli1995,behavior,PNF,"Cohen's d, Variance",12,11,0.1000,0.4183,1995,jounal,health,drinking,college,US,48,no/unrelated message,distal,don't,intervention,written,single exposure and follow up,42,personalized norm
Alfonso2015,behavior,PNF,"Cohen's d, Variance",79,43,-0.2130,0.1900,2015,journal,health,alcohol,college,US,82,no/unrelated message,distal,don't,online int,written,single exposure and follow up,90,personalized norm
Alpizar2008,behavior,descriptive,"Independent groups (means, SD's)",249,250,-0.0035,0.0895,2008,jounal,socio-cultural,donations,adults,North/Central America,49,no/unrelated message,distal,do,field experiment,written,single exposure,1,implied majority
Anderson2006,attitude,intervention,"Paired groups (means, SD)",278,279,-0.6146,0.0480,2006,jounal,health,condom use,adults,US,100,no/unrelated message,mixed,do,intervention,ftf grp,multiple eposure,180,implied majority
Anderson2006,behavior,intervention,"Paired groups (means, SD)",278,279,0.0033,0.0456,2006,jounal,health,condom use,adults,US,100,no/unrelated message,mixed,do,intervention,ftf grp,multiple eposure,180,implied majority
Anderson2006,perc subj norm,intervention,"Paired groups (means, SD)",278,279,0.1258,0.0442,2006,jounal,health,condom use,adults,US,100,no/unrelated message,mixed,do,intervention,ftf grp,multiple eposure,180,implied majority
Anderson2006,intention,intervention,"Paired groups (means, SD)",278,279,0.0887,0.0441,2006,jounal,health,condom use,adults,US,100,no/unrelated message,mixed,do,intervention,ftf grp,multiple eposure,180,implied majority
Armitage2010,attitude,intervention,"Independent groups (means, SD's)",141,138,0.0274,0.1197,2010,journal,health,condom,college,Europe,70,no/unrelated message,distal,do,lab experiment,written,single exposure,1,implied approval/disapproval
Armitage2010,perc subj norm,intervention,"Independent groups (means, SD's)",141,138,0.2845,0.1203,2010,journal,health,condom,college,Europe,70,no/unrelated message,distal,do,lab experiment,written,single exposure,1,implied approval/disapproval
Armitage2010,intention,intervention,"Independent groups (means, SD's)",141,138,0.0745,0.1198,2010,journal,health,condom,college,Europe,70,no/unrelated message,distal,do,lab experiment,written,single exposure,1,implied approval/disapproval
